name,class,clade
AluYa5,SINE,Non-LTR Retrotransposon
AluYb10,SINE,Non-LTR Retrotransposon
AluYb11,SINE,Non-LTR Retrotransposon
AluYb8,SINE,Non-LTR Retrotransposon
AluYb8a1,SINE,Non-LTR Retrotransposon
AluYb9,SINE,Non-LTR Retrotransposon
AluYk13,SINE,Non-LTR Retrotransposon
AmnSINE1_HS,SINE,Non-LTR Retrotransposon
CHARLIE10,hAT,DNA transposon
CHARLIE2A,hAT,DNA transposon
CHARLIE2B,hAT,DNA transposon
CHARLIE3,hAT,DNA transposon
CHARLIE5,hAT,DNA transposon
CHARLIE6,hAT,DNA transposon
CHARLIE7,hAT,DNA transposon
CHARLIE8,hAT,DNA transposon
CHARLIE9,hAT,DNA transposon
CHESHIRE,hAT,DNA transposon
CHESHIRE_A,hAT,DNA transposon
CHESHIRE_B,hAT,DNA transposon
CR1_HS,CR1,Non-LTR Retrotransposon
ERV3-16A3_I,ERV3,Endogenous Retrovirus
ERV3-16A3_LTR,ERV3,Endogenous Retrovirus
ERVL,ERV3,Endogenous Retrovirus
FORDPREFECT,hAT,DNA transposon
FORDPREFECT_A,hAT,DNA transposon
GOLEM_A,Mariner/Tc1,DNA transposon
GOLEM_C,Mariner/Tc1,DNA transposon
HAL1B,L1,Non-LTR Retrotransposon
HARLEQUIN,ERV1,Endogenous Retrovirus
HARLEQUINLTR,ERV1,Endogenous Retrovirus
HERV-K14CI,ERV2,Endogenous Retrovirus
HERV-K14I,ERV2,Endogenous Retrovirus
HERV15I,other,other
HERV16,ERV3,Endogenous Retrovirus
HERV17,ERV1,Endogenous Retrovirus
HERV18,other,other
HERV19I,ERV1,Endogenous Retrovirus
HERV1_LTR,other,other
HERV23,other,other
HERV3,ERV1,Endogenous Retrovirus
HERV30I,other,other
HERV35I,ERV1,Endogenous Retrovirus
HERV38I,other,other
HERV39,other,other
HERV46I,other,other
HERV49I,ERV1,Endogenous Retrovirus
HERV4_I,ERV1,Endogenous Retrovirus
HERV4_LTR,other,other
HERV52I,other,other
HERV57I,other,other
HERV9,ERV1,Endogenous Retrovirus
HERVE,ERV1,Endogenous Retrovirus
HERVFH19I,other,other
HERVG25,other,other
HERVH48I,other,other
HERVI,ERV1,Endogenous Retrovirus
HERVIP10F,ERV1,Endogenous Retrovirus
HERVIP10FH,ERV1,Endogenous Retrovirus
HERVK11DI,ERV2,Endogenous Retrovirus
HERVK11I,ERV2,Endogenous Retrovirus
HERVK13I,ERV2,Endogenous Retrovirus
HERVK3I,ERV2,Endogenous Retrovirus
HERVK9I,ERV2,Endogenous Retrovirus
HERVL,ERV3,Endogenous Retrovirus
HERVL74,ERV3,Endogenous Retrovirus
HERVL_40,other,other
HERVP71A_I,other,other
HSMAR1,Mariner/Tc1,DNA transposon
HSMAR2,Mariner/Tc1,DNA transposon
HSTC2,Mariner/Tc1,DNA transposon
HUERS-P2,other,other
HUERS-P3,ERV1,Endogenous Retrovirus
HUERS-P3B,ERV1,Endogenous Retrovirus
IN25,L1,Non-LTR Retrotransposon
KANGA2_A,Mariner/Tc1,DNA transposon
L1,L1,Non-LTR Retrotransposon
L1HS,L1,Non-LTR Retrotransposon
L1M1B_5,L1,Non-LTR Retrotransposon
L1M2A1_5,L1,Non-LTR Retrotransposon
L1M2A_5,L1,Non-LTR Retrotransposon
L1M2B_5,L1,Non-LTR Retrotransposon
L1M2C_5,L1,Non-LTR Retrotransposon
L1M2_5,L1,Non-LTR Retrotransposon
L1M3B_5,L1,Non-LTR Retrotransposon
L1M3C_5,L1,Non-LTR Retrotransposon
L1M4B,L1,Non-LTR Retrotransposon
L1M6B_5end,L1,Non-LTR Retrotransposon
L1MA1,L1,Non-LTR Retrotransposon
L1MA2,L1,Non-LTR Retrotransposon
L1MA3,L1,Non-LTR Retrotransposon
L1MA4,L1,Non-LTR Retrotransposon
L1MA4A,L1,Non-LTR Retrotransposon
L1MA5,L1,Non-LTR Retrotransposon
L1MA5A,L1,Non-LTR Retrotransposon
L1MA6,L1,Non-LTR Retrotransposon
L1MA7,L1,Non-LTR Retrotransposon
L1MA8,L1,Non-LTR Retrotransposon
L1MA9,L1,Non-LTR Retrotransposon
L1MB1,L1,Non-LTR Retrotransposon
L1MB2,L1,Non-LTR Retrotransposon
L1MB3,L1,Non-LTR Retrotransposon
L1MB3_5,L1,Non-LTR Retrotransposon
L1MB4,L1,Non-LTR Retrotransposon
L1MB5,L1,Non-LTR Retrotransposon
L1MB8,L1,Non-LTR Retrotransposon
L1MC1,L1,Non-LTR Retrotransposon
L1MC2,L1,Non-LTR Retrotransposon
L1MC4,L1,Non-LTR Retrotransposon
L1MCA_5,L1,Non-LTR Retrotransposon
L1MCB_5,L1,Non-LTR Retrotransposon
L1MCC_5,L1,Non-LTR Retrotransposon
L1MD1,L1,Non-LTR Retrotransposon
L1MD2,L1,Non-LTR Retrotransposon
L1MD3,L1,Non-LTR Retrotransposon
L1MDB_5,L1,Non-LTR Retrotransposon
L1ME1,L1,Non-LTR Retrotransposon
L1ME2,L1,Non-LTR Retrotransposon
L1ME3,L1,Non-LTR Retrotransposon
L1ME3A,L1,Non-LTR Retrotransposon
L1ME4A,L1,Non-LTR Retrotransposon
L1MEA_5,L1,Non-LTR Retrotransposon
L1MEB_5,L1,Non-LTR Retrotransposon
L1MED_5,L1,Non-LTR Retrotransposon
L1MEE_5,L1,Non-LTR Retrotransposon
L1ME_ORF2,L1,Non-LTR Retrotransposon
L1PA10,L1,Non-LTR Retrotransposon
L1PA11,L1,Non-LTR Retrotransposon
L1PA12,L1,Non-LTR Retrotransposon
L1PA12_5,L1,Non-LTR Retrotransposon
L1PA13,L1,Non-LTR Retrotransposon
L1PA13_5,L1,Non-LTR Retrotransposon
L1PA14,L1,Non-LTR Retrotransposon
L1PA14_5,L1,Non-LTR Retrotransposon
L1PA15,L1,Non-LTR Retrotransposon
L1PA16,L1,Non-LTR Retrotransposon
L1PA16_5,L1,Non-LTR Retrotransposon
L1PA17_5,L1,Non-LTR Retrotransposon
L1PA2,L1,Non-LTR Retrotransposon
L1PA3,L1,Non-LTR Retrotransposon
L1PA4,L1,Non-LTR Retrotransposon
L1PA5,L1,Non-LTR Retrotransposon
L1PA6,L1,Non-LTR Retrotransposon
L1PA7,L1,Non-LTR Retrotransposon
L1PA7_5,L1,Non-LTR Retrotransposon
L1PA8,L1,Non-LTR Retrotransposon
L1PB1,L1,Non-LTR Retrotransposon
L1PB2,L1,Non-LTR Retrotransposon
L1PB2c,L1,Non-LTR Retrotransposon
L1PB3,L1,Non-LTR Retrotransposon
L1PB4,L1,Non-LTR Retrotransposon
L1PBA1_5,L1,Non-LTR Retrotransposon
L1PBA_5,L1,Non-LTR Retrotransposon
L1PBB_5,L1,Non-LTR Retrotransposon
L1PREC1,L1,Non-LTR Retrotransposon
L1PREC2,L1,Non-LTR Retrotransposon
L3,CR1,Non-LTR Retrotransposon
LOOPER,other,other
LOR1,ERV1,Endogenous Retrovirus
LOR1I,ERV1,Endogenous Retrovirus
LTR06,ERV1,Endogenous Retrovirus
LTR1,ERV1,Endogenous Retrovirus
LTR10B,ERV1,Endogenous Retrovirus
LTR10B2,ERV1,Endogenous Retrovirus
LTR10C,ERV1,Endogenous Retrovirus
LTR10D,ERV1,Endogenous Retrovirus
LTR10F,ERV1,Endogenous Retrovirus
LTR11,other,other
LTR12B,ERV1,Endogenous Retrovirus
LTR12C,ERV1,Endogenous Retrovirus
LTR12D,ERV1,Endogenous Retrovirus
LTR12E,ERV1,Endogenous Retrovirus
LTR13,ERV2,Endogenous Retrovirus
LTR13A,ERV2,Endogenous Retrovirus
LTR14,ERV2,Endogenous Retrovirus
LTR14A,ERV2,Endogenous Retrovirus
LTR14B,ERV2,Endogenous Retrovirus
LTR14C,ERV2,Endogenous Retrovirus
LTR15,ERV1,Endogenous Retrovirus
LTR16,ERV3,Endogenous Retrovirus
LTR16A1,ERV3,Endogenous Retrovirus
LTR16A2,ERV3,Endogenous Retrovirus
LTR16C,ERV3,Endogenous Retrovirus
LTR16D,ERV3,Endogenous Retrovirus
LTR16E,ERV3,Endogenous Retrovirus
LTR17,ERV1,Endogenous Retrovirus
LTR18A,ERV3,Endogenous Retrovirus
LTR18B,ERV3,Endogenous Retrovirus
LTR18C,ERV3,Endogenous Retrovirus
LTR19A,ERV3,Endogenous Retrovirus
LTR19B,ERV3,Endogenous Retrovirus
LTR19C,ERV3,Endogenous Retrovirus
LTR1B,ERV1,Endogenous Retrovirus
LTR1B1,ERV1,Endogenous Retrovirus
LTR1C,ERV1,Endogenous Retrovirus
LTR1C2,ERV1,Endogenous Retrovirus
LTR1D,ERV1,Endogenous Retrovirus
LTR1E,ERV1,Endogenous Retrovirus
LTR1F,ERV1,Endogenous Retrovirus
LTR2,ERV1,Endogenous Retrovirus
